sequence_id	sequence_name	skill_rows	weapon_class_index	weapon_class	weapon_class_id	available	array_name	runtime_group_rva	runtime_descriptor_rva	runtime_records_rva	static_group_seed_rvas	static_records_seed_rvas	sequence_frame_count	animation_frame_count	descriptor_extra
14	LeapAttack	bar:Leap Attack	11	1ST	11	1	gPlayerSequenceLeapAttack_HTH	0x2384AC0	0x2384BC8	0x2384830	0x1992220	0x1992840	22	22	0x100
14	LeapAttack	bar:Leap Attack	12	HT1	12	1	gPlayerSequenceLeapAttack_HTH	0x2384AC0	0x2384BE0	0x2384830	0x1992220	0x1992840	22	22	0x100
14	LeapAttack	bar:Leap Attack	13	HT2	13	1	gPlayerSequenceLeapAttack_HTH	0x2384AC0	0x2384BF8	0x2384830	0x1992220	0x1992840	22	22	0x100
15	DoubleThrow	bar:Double Throw	0	HTH	0	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384C60	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	1	1HT	3	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384C78	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	2	2HT	6	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384C90	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	3	1HS	2	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384CA8	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	4	2HS	5	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384CC0	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	5	BOW	1	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384CD8	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	6	XBW	7	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384CF0	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	7	STF	4	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384D08	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	8	1JS	8	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384D20	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	9	1JT	9	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384D38	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	10	1SS	10	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384D50	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	11	1ST	11	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384D68	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	12	HT1	12	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384D80	0x2384C10	0x19928D0	0x1993240	12	12	0x100
15	DoubleThrow	bar:Double Throw	13	HT2	13	1	gPlayerSequenceDoubleThrow	0x2384C60	0x2384D98	0x2384C10	0x19928D0	0x1993240	12	12	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	0	HTH	0	1	gPlayerSequenceDragonClaw_HTH_HT1	0x2384E60	0x2384E60	0x2384DB0	0x1993360	0x1993AD0	12	12	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	1	1HT	3	0		0x2384E60	0x2384E78		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	2	2HT	6	0		0x2384E60	0x2384E90		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	3	1HS	2	0		0x2384E60	0x2384EA8		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	4	2HS	5	0		0x2384E60	0x2384EC0		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	5	BOW	1	0		0x2384E60	0x2384ED8		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	6	XBW	7	0		0x2384E60	0x2384EF0		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	7	STF	4	0		0x2384E60	0x2384F08		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	8	1JS	8	0		0x2384E60	0x2384F20		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	9	1JT	9	0		0x2384E60	0x2384F38		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	10	1SS	10	0		0x2384E60	0x2384F50		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	11	1ST	11	0		0x2384E60	0x2384F68		0x1993360		0	0	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	12	HT1	12	1	gPlayerSequenceDragonClaw_HTH_HT1	0x2384E60	0x2384F80	0x2384DB0	0x1993360	0x1993AD0	12	12	0x100
16	DragonClaw	ass:Fists of Fire|ass:Dragon Claw|ass:Claws of Thunder|ass:Blades of Ice	13	HT2	13	1	gPlayerSequenceDragonClaw_HT2	0x2384E60	0x2384F98	0x2384E00	0x1993360	0x1994050	16	16	0x100
17	Projection		0	HTH	0	1	gPlayerSequenceProjection	0x2385030	0x2385030	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		1	1HT	3	1	gPlayerSequenceProjection	0x2385030	0x2385048	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		2	2HT	6	1	gPlayerSequenceProjection	0x2385030	0x2385060	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		3	1HS	2	1	gPlayerSequenceProjection	0x2385030	0x2385078	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		4	2HS	5	1	gPlayerSequenceProjection	0x2385030	0x2385090	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		5	BOW	1	1	gPlayerSequenceProjection	0x2385030	0x23850A8	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		6	XBW	7	1	gPlayerSequenceProjection	0x2385030	0x23850C0	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		7	STF	4	1	gPlayerSequenceProjection	0x2385030	0x23850D8	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		8	1JS	8	0		0x2385030	0x23850F0		0x1990BA0		0	0	0x100
17	Projection		9	1JT	9	0		0x2385030	0x2385108		0x1990BA0		0	0	0x100
17	Projection		10	1SS	10	0		0x2385030	0x2385120		0x1990BA0		0	0	0x100
17	Projection		11	1ST	11	0		0x2385030	0x2385138		0x1990BA0		0	0	0x100
17	Projection		12	HT1	12	1	gPlayerSequenceProjection	0x2385030	0x2385150	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
17	Projection		13	HT2	13	1	gPlayerSequenceProjection	0x2385030	0x2385168	0x2384FB0	0x1990BA0	0x1993520	19	19	0x100
18	ArcticBlast	dru:Arctic Blast	0	HTH	0	1	gPlayerSequenceArcticBlast	0x23853B0	0x23853B0	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	1	1HT	3	1	gPlayerSequenceArcticBlast	0x23853B0	0x23853C8	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	2	2HT	6	1	gPlayerSequenceArcticBlast	0x23853B0	0x23853E0	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	3	1HS	2	1	gPlayerSequenceArcticBlast	0x23853B0	0x23853F8	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	4	2HS	5	1	gPlayerSequenceArcticBlast	0x23853B0	0x2385410	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	5	BOW	1	1	gPlayerSequenceArcticBlast	0x23853B0	0x2385428	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	6	XBW	7	1	gPlayerSequenceArcticBlast	0x23853B0	0x2385440	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	7	STF	4	1	gPlayerSequenceArcticBlast	0x23853B0	0x2385458	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	8	1JS	8	1	gPlayerSequenceArcticBlast	0x23853B0	0x2385470	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	9	1JT	9	1	gPlayerSequenceArcticBlast	0x23853B0	0x2385488	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	10	1SS	10	1	gPlayerSequenceArcticBlast	0x23853B0	0x23854A0	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	11	1ST	11	1	gPlayerSequenceArcticBlast	0x23853B0	0x23854B8	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	12	HT1	12	1	gPlayerSequenceArcticBlast	0x23853B0	0x23854D0	0x2385350	0x1991180	0x19941F0	15	15	0x100
18	ArcticBlast	dru:Arctic Blast	13	HT2	13	1	gPlayerSequenceArcticBlast	0x23853B0	0x23854E8	0x2385350	0x1991180	0x19941F0	15	15	0x100
19	DragonTalon	ass:Dragon Talon	0	HTH	0	1	gPlayerSequenceDragonTalon	0x2385200	0x2385200	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	1	1HT	3	1	gPlayerSequenceDragonTalon	0x2385200	0x2385218	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	2	2HT	6	1	gPlayerSequenceDragonTalon	0x2385200	0x2385230	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	3	1HS	2	1	gPlayerSequenceDragonTalon	0x2385200	0x2385248	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	4	2HS	5	1	gPlayerSequenceDragonTalon	0x2385200	0x2385260	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	5	BOW	1	1	gPlayerSequenceDragonTalon	0x2385200	0x2385278	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	6	XBW	7	1	gPlayerSequenceDragonTalon	0x2385200	0x2385290	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	7	STF	4	1	gPlayerSequenceDragonTalon	0x2385200	0x23852A8	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	8	1JS	8	0		0x2385200	0x23852C0		0x1993F00		0	0	0x100
19	DragonTalon	ass:Dragon Talon	9	1JT	9	0		0x2385200	0x23852D8		0x1993F00		0	0	0x100
19	DragonTalon	ass:Dragon Talon	10	1SS	10	0		0x2385200	0x23852F0		0x1993F00		0	0	0x100
19	DragonTalon	ass:Dragon Talon	11	1ST	11	0		0x2385200	0x2385308		0x1993F00		0	0	0x100
19	DragonTalon	ass:Dragon Talon	12	HT1	12	1	gPlayerSequenceDragonTalon	0x2385200	0x2385320	0x2385180	0x1993F00	0x1993D70	20	20	0x100
19	DragonTalon	ass:Dragon Talon	13	HT2	13	1	gPlayerSequenceDragonTalon	0x2385200	0x2385338	0x2385180	0x1993F00	0x1993D70	20	20	0x100
20	DragonBreath		0	HTH	0	1	gPlayerSequenceDragonBreath	0x2385570	0x2385570	0x2385500	0x1991030	0x1990CF0	17	17	0x100
20	DragonBreath		1	1HT	3	1	gPlayerSequenceDragonBreath	0x2385570	0x2385588	0x2385500	0x1991030	0x1990CF0	17	17	0x100
20	DragonBreath		2	2HT	6	1	gPlayerSequenceDragonBreath	0x2385570	0x23855A0	0x2385500	0x1991030	0x1990CF0	17	17	0x100
20	DragonBreath		3	1HS	2	1	gPlayerSequenceDragonBreath	0x2385570	0x23855B8	0x2385500	0x1991030	0x1990CF0	17	17	0x100
20	DragonBreath		4	2HS	5	1	gPlayerSequenceDragonBreath	0x2385570	0x23855D0	0x2385500	0x1991030	0x1990CF0	17	17	0x100
20	DragonBreath		5	BOW	1	1	gPlayerSequenceDragonBreath	0x2385570	0x23855E8	0x2385500	0x1991030	0x1990CF0	17	17	0x100
20	DragonBreath		6	XBW	7	1	gPlayerSequenceDragonBreath	0x2385570	0x2385600	0x2385500	0x1991030	0x1990CF0	17	17	0x100
20	DragonBreath		7	STF	4	0		0x2385570	0x2385618		0x1991030		0	0	0x100
20	DragonBreath		8	1JS	8	0		0x2385570	0x2385630		0x1991030		0	0	0x100
20	DragonBreath		9	1JT	9	0		0x2385570	0x2385648		0x1991030		0	0	0x100
20	DragonBreath		10	1SS	10	0		0x2385570	0x2385660		0x1991030		0	0	0x100
20	DragonBreath		11	1ST	11	0		0x2385570	0x2385678		0x1991030		0	0	0x100
20	DragonBreath		12	HT1	12	1	gPlayerSequenceDragonBreath	0x2385570	0x2385690	0x2385500	0x1991030	0x1990CF0	17	17	0x100
20	DragonBreath		13	HT2	13	1	gPlayerSequenceDragonBreath	0x2385570	0x23856A8	0x2385500	0x1991030	0x1990CF0	17	17	0x100
21	DragonFlight	ass:Dragon Flight	0	HTH	0	1	gPlayerSequenceDragonFlight	0x2385750	0x2385750	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	1	1HT	3	1	gPlayerSequenceDragonFlight	0x2385750	0x2385768	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	2	2HT	6	1	gPlayerSequenceDragonFlight	0x2385750	0x2385780	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	3	1HS	2	1	gPlayerSequenceDragonFlight	0x2385750	0x2385798	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	4	2HS	5	1	gPlayerSequenceDragonFlight	0x2385750	0x23857B0	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	5	BOW	1	1	gPlayerSequenceDragonFlight	0x2385750	0x23857C8	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	6	XBW	7	1	gPlayerSequenceDragonFlight	0x2385750	0x23857E0	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	7	STF	4	1	gPlayerSequenceDragonFlight	0x2385750	0x23857F8	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	8	1JS	8	1	gPlayerSequenceDragonFlight	0x2385750	0x2385810	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	9	1JT	9	1	gPlayerSequenceDragonFlight	0x2385750	0x2385828	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	10	1SS	10	1	gPlayerSequenceDragonFlight	0x2385750	0x2385840	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	11	1ST	11	1	gPlayerSequenceDragonFlight	0x2385750	0x2385858	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	12	HT1	12	1	gPlayerSequenceDragonFlight	0x2385750	0x2385870	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
21	DragonFlight	ass:Dragon Flight	13	HT2	13	1	gPlayerSequenceDragonFlight	0x2385750	0x2385888	0x23856C0	0x1991CF0	0x19940B0	23	23	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	0	HTH	0	1	gPlayerSequenceUnmorph	0x2385900	0x2385900	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	1	1HT	3	1	gPlayerSequenceUnmorph	0x2385900	0x2385918	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	2	2HT	6	1	gPlayerSequenceUnmorph	0x2385900	0x2385930	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	3	1HS	2	1	gPlayerSequenceUnmorph	0x2385900	0x2385948	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	4	2HS	5	1	gPlayerSequenceUnmorph	0x2385900	0x2385960	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	5	BOW	1	1	gPlayerSequenceUnmorph	0x2385900	0x2385978	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	6	XBW	7	1	gPlayerSequenceUnmorph	0x2385900	0x2385990	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	7	STF	4	1	gPlayerSequenceUnmorph	0x2385900	0x23859A8	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	8	1JS	8	1	gPlayerSequenceUnmorph	0x2385900	0x23859C0	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	9	1JT	9	1	gPlayerSequenceUnmorph	0x2385900	0x23859D8	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	10	1SS	10	1	gPlayerSequenceUnmorph	0x2385900	0x23859F0	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	11	1ST	11	1	gPlayerSequenceUnmorph	0x2385900	0x2385A08	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	12	HT1	12	1	gPlayerSequenceUnmorph	0x2385900	0x2385A20	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
22	Unmorph	dru:Wearwolf|dru:Wearbear	13	HT2	13	1	gPlayerSequenceUnmorph	0x2385900	0x2385A38	0x23858A0	0x1990EE0	0x1992CD0	16	16	0x100
23	BladeFury	ass:Blade Fury	0	HTH	0	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385AD0	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	1	1HT	3	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385AE8	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	2	2HT	6	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385B00	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	3	1HS	2	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385B18	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	4	2HS	5	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385B30	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	5	BOW	1	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385B48	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	6	XBW	7	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385B60	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	7	STF	4	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385B78	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	8	1JS	8	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385B90	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	9	1JT	9	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385BA8	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	10	1SS	10	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385BC0	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	11	1ST	11	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385BD8	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	12	HT1	12	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385BF0	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
23	BladeFury	ass:Blade Fury	13	HT2	13	1	gPlayerSequenceBladeFury	0x2385AD0	0x2385C08	0x2385A50	0x1993C20	0x19925B0	19	19	0x100
24	Cleave	war:Cleave	0	HTH	0	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2385EE0	0x2385C20	0x1992080	0x19912D0	19	19	0x100
24	Cleave	war:Cleave	1	1HT	3	1	D2R_PlayerSequenceCleave_1HT	0x2385EE0	0x2385EF8	0x2385D00	0x1992080	0x1990E80	16	16	0x100
24	Cleave	war:Cleave	2	2HT	6	1	D2R_PlayerSequenceCleave_2HT	0x2385EE0	0x2385F10	0x2385DD0	0x1992080	0x1993E20	20	20	0x100
24	Cleave	war:Cleave	3	1HS	2	1	D2R_PlayerSequenceCleave_1HS	0x2385EE0	0x2385F28	0x2385CA0	0x1992080	0x19924A0	16	16	0x100
24	Cleave	war:Cleave	4	2HS	5	1	D2R_PlayerSequenceCleave_2HS	0x2385EE0	0x2385F40	0x2385D60	0x1992080	0x1992C60	18	18	0x100
24	Cleave	war:Cleave	5	BOW	1	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2385F58	0x2385C20	0x1992080	0x19912D0	19	19	0x100
24	Cleave	war:Cleave	6	XBW	7	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2385F70	0x2385C20	0x1992080	0x19912D0	19	19	0x100
24	Cleave	war:Cleave	7	STF	4	1	D2R_PlayerSequenceCleave_STF	0x2385EE0	0x2385F88	0x2385E50	0x1992080	0x1990970	22	22	0x100
24	Cleave	war:Cleave	8	1JS	8	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2385FA0	0x2385C20	0x1992080	0x19912D0	19	19	0x100
24	Cleave	war:Cleave	9	1JT	9	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2385FB8	0x2385C20	0x1992080	0x19912D0	19	19	0x100
24	Cleave	war:Cleave	10	1SS	10	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2385FD0	0x2385C20	0x1992080	0x19912D0	19	19	0x100
24	Cleave	war:Cleave	11	1ST	11	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2385FE8	0x2385C20	0x1992080	0x19912D0	19	19	0x100
24	Cleave	war:Cleave	12	HT1	12	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2386000	0x2385C20	0x1992080	0x19912D0	19	19	0x100
24	Cleave	war:Cleave	13	HT2	13	1	D2R_PlayerSequenceCleave_HTH	0x2385EE0	0x2386018	0x2385C20	0x1992080	0x19912D0	19	19	0x100
25	MirroredBlades	war:Mirrored Blades	0	HTH	0	1	D2R_PlayerSequenceMirroredBlades_HTH	0x2386350	0x2386350	0x2386030	0x1993830	0x1994140	17	17	0x100
25	MirroredBlades	war:Mirrored Blades	1	1HT	3	1	D2R_PlayerSequenceMirroredBlades_1HT	0x2386350	0x2386368	0x23860B0	0x1993830	0x1991790	16	16	0x100
25	MirroredBlades	war:Mirrored Blades	2	2HT	6	1	D2R_PlayerSequenceMirroredBlades_2HT	0x2386350	0x2386380	0x2386110	0x1993830	0x1991C70	21	21	0x100
25	MirroredBlades	war:Mirrored Blades	3	1HS	2	1	D2R_PlayerSequenceMirroredBlades_1HS	0x2386350	0x2386398	0x2386190	0x1993830	0x19914E0	16	16	0x100
25	MirroredBlades	war:Mirrored Blades	4	2HS	5	1	D2R_PlayerSequenceMirroredBlades_2HS	0x2386350	0x23863B0	0x23861F0	0x1993830	0x1992410	19	19	0x100
25	MirroredBlades	war:Mirrored Blades	5	BOW	1	1	D2R_PlayerSequenceMirroredBlades_BOW	0x2386350	0x23863C8	0x2386270	0x1993830	0x1991E40	18	18	0x100
25	MirroredBlades	war:Mirrored Blades	6	XBW	7	1	D2R_PlayerSequenceMirroredBlades_BOW	0x2386350	0x23863E0	0x2386270	0x1993830	0x1991E40	18	18	0x100
25	MirroredBlades	war:Mirrored Blades	7	STF	4	1	D2R_PlayerSequenceMirroredBlades_STF	0x2386350	0x23863F8	0x23862E0	0x1993830	0x1992BF0	17	17	0x100
25	MirroredBlades	war:Mirrored Blades	8	1JS	8	1	D2R_PlayerSequenceMirroredBlades_1HT	0x2386350	0x2386410	0x23860B0	0x1993830	0x1991790	16	16	0x100
25	MirroredBlades	war:Mirrored Blades	9	1JT	9	1	D2R_PlayerSequenceMirroredBlades_1HT	0x2386350	0x2386428	0x23860B0	0x1993830	0x1991790	16	16	0x100
25	MirroredBlades	war:Mirrored Blades	10	1SS	10	1	D2R_PlayerSequenceMirroredBlades_1HS	0x2386350	0x2386440	0x2386190	0x1993830	0x19914E0	16	16	0x100
25	MirroredBlades	war:Mirrored Blades	11	1ST	11	1	D2R_PlayerSequenceMirroredBlades_1HS	0x2386350	0x2386458	0x2386190	0x1993830	0x19914E0	16	16	0x100
25	MirroredBlades	war:Mirrored Blades	12	HT1	12	1	D2R_PlayerSequenceMirroredBlades_HTH	0x2386350	0x2386470	0x2386030	0x1993830	0x1994140	17	17	0x100
25	MirroredBlades	war:Mirrored Blades	13	HT2	13	1	D2R_PlayerSequenceMirroredBlades_HTH	0x2386350	0x2386488	0x2386030	0x1993830	0x1994140	17	17	0x100
